[INFO] [2020-11-16 07:35:56,323] [6:140436123686720] - db_models.py[line:56]: init sqlite database on standalone mode successfully
[INFO] [2020-11-16 07:35:57,248] [6:140436123686720] - session_utils.py[line:68]: init detect table fate_flow_detect_table_namespace fate_flow_detect_table_name for session session_used_by_fate_flow_server_5d990f5227de11eb91a40242ac120002
[INFO] [2020-11-16 07:35:57,248] [6:140436123686720] - session_utils.py[line:69]: init session session_used_by_fate_flow_server_5d990f5227de11eb91a40242ac120002 for fate flow server successfully
[INFO] [2020-11-16 07:35:57,250] [6:140436123686720] - queue_manager.py[line:247]: init in-process queue
[INFO] [2020-11-16 08:19:21,262] [6:140357816665920] - db_models.py[line:56]: init sqlite database on standalone mode successfully
[INFO] [2020-11-16 08:19:22,206] [6:140357816665920] - session_utils.py[line:68]: init detect table fate_flow_detect_table_namespace fate_flow_detect_table_name for session session_used_by_fate_flow_server_6e40955427e411eba78f0242ac120002
[INFO] [2020-11-16 08:19:22,206] [6:140357816665920] - session_utils.py[line:69]: init session session_used_by_fate_flow_server_6e40955427e411eba78f0242ac120002 for fate flow server successfully
[INFO] [2020-11-16 08:19:22,208] [6:140357816665920] - queue_manager.py[line:247]: init in-process queue
[INFO] [2020-11-16 08:24:00,505] [6:140329274890048] - db_models.py[line:56]: init sqlite database on standalone mode successfully
[INFO] [2020-11-16 08:24:00,884] [6:140329274890048] - session_utils.py[line:68]: init detect table fate_flow_detect_table_namespace fate_flow_detect_table_name for session session_used_by_fate_flow_server_1469cc3427e511ebb3460242ac120002
[INFO] [2020-11-16 08:24:00,885] [6:140329274890048] - session_utils.py[line:69]: init session session_used_by_fate_flow_server_1469cc3427e511ebb3460242ac120002 for fate flow server successfully
[INFO] [2020-11-16 08:24:00,885] [6:140329274890048] - queue_manager.py[line:247]: init in-process queue
[INFO] [2020-11-16 08:36:40,587] [6:140635512678208] - db_models.py[line:56]: init sqlite database on standalone mode successfully
